hrs	 time	 fatigue
0	 19.7829	 3.5
0.0625	 19.7904	 3.49688
0.125	 19.7979	 3.49375
0.1875	 19.8054	 3.49062
0.25	 19.8129	 3.4875
0.3125	 19.8204	 3.48438
0.375	 19.8278	 3.48125
0.4375	 19.8353	 3.47813
0.5	 19.8428	 3.475
0.5625	 19.8503	 3.47187
0.625	 19.8578	 3.46875
0.6875	 19.8652	 3.46563
0.75	 19.8727	 3.4625
0.8125	 19.8802	 3.45938
0.875	 19.8877	 3.45625
0.9375	 19.8952	 3.45312
1	 19.9026	 3.45
1.0625	 19.9101	 3.44688
1.125	 19.9176	 3.44375
1.1875	 19.925	 3.44062
1.25	 19.9325	 3.4375
1.3125	 19.94	 3.43438
1.375	 19.9474	 3.43125
1.4375	 19.9549	 3.42812
1.5	 19.9624	 3.425
1.5625	 19.9698	 3.42188
1.625	 19.9773	 3.41875
1.6875	 19.9848	 3.41562
1.75	 19.9922	 3.4125
1.8125	 19.9997	 3.40937
1.875	 20.0071	 3.40625
1.9375	 20.0146	 3.40313
2	 20.0221	 3.4
2.0625	 20.0226	 3.40313
2.125	 20.0231	 3.40625
2.1875	 20.0237	 3.40937
2.25	 20.0242	 3.4125
2.3125	 20.0247	 3.41562
2.375	 20.0252	 3.41875
2.4375	 20.0257	 3.42188
2.5	 20.0261	 3.425
2.5625	 20.0266	 3.42812
2.625	 20.0271	 3.43125
2.6875	 20.0275	 3.43438
2.75	 20.028	 3.4375
2.8125	 20.0284	 3.44062
2.875	 20.0288	 3.44375
2.9375	 20.0293	 3.44688
3	 20.0297	 3.45
3.0625	 20.0301	 3.45312
3.125	 20.0305	 3.45625
3.1875	 20.0309	 3.45938
3.25	 20.0312	 3.4625
3.3125	 20.0316	 3.46563
3.375	 20.032	 3.46875
3.4375	 20.0323	 3.47187
3.5	 20.0327	 3.475
3.5625	 20.033	 3.47813
3.625	 20.0333	 3.48125
3.6875	 20.0336	 3.48438
3.75	 20.034	 3.4875
3.8125	 20.0343	 3.49062
3.875	 20.0346	 3.49375
3.9375	 20.0348	 3.49688
4	 20.0351	 3.5
4.0625	 20.0562	 3.48438
4.125	 20.0774	 3.46875
4.1875	 20.0986	 3.45312
4.25	 20.1199	 3.4375
4.3125	 20.1412	 3.42188
4.375	 20.1626	 3.40625
4.4375	 20.1841	 3.39062
4.5	 20.2056	 3.375
4.5625	 20.2272	 3.35938
4.625	 20.2489	 3.34375
4.6875	 20.2707	 3.32812
4.75	 20.2926	 3.3125
4.8125	 20.3145	 3.29688
4.875	 20.3365	 3.28125
4.9375	 20.3586	 3.26562
5	 20.3807	 3.25
5.0625	 20.403	 3.23438
5.125	 20.4253	 3.21875
5.1875	 20.4477	 3.20312
